timestamp,lat,lon,line,rn,trDr,destNm,heading,arrT,prdt
2016-06-20T11:33:15.000Z,41.9713,-87.65849,red,820,1,Howard,358,20160620 11:28:36,20160620 11:27:36
2016-06-20T11:33:15.000Z,41.94976,-87.65364,red,821,1,Howard,359,20160620 11:33:46,20160620 11:32:46
2016-06-20T11:33:15.000Z,41.78054,-87.631,red,824,1,Howard,358,20160620 11:34:57,20160620 11:32:57
2016-06-20T11:33:15.000Z,41.88481,-87.62781,red,901,1,Howard,358,20160620 11:34:25,20160620 11:32:25
2016-06-20T11:33:15.000Z,41.82823,-87.63057,red,902,1,Howard,358,20160620 11:33:47,20160620 11:32:47
2016-06-20T11:33:15.000Z,41.90392,-87.63141,red,906,5,95th/Dan Ryan,89,20160620 11:34:10,20160620 11:32:10
2016-06-20T11:33:15.000Z,42.0127,-87.66617,red,911,1,Howard,335,20160620 11:30:05,20160620 11:29:05
2016-06-20T11:33:15.000Z,41.79655,-87.6312,red,912,5,95th/Dan Ryan,178,20160620 11:33:58,20160620 11:32:58
2016-06-20T11:33:15.000Z,42.01906,-87.67289,red,914,5,95th/Dan Ryan,130,20160620 11:34:35,20160620 11:32:35
2016-06-20T11:34:15.000Z,41.95377,-87.65493,red,801,5,95th/Dan Ryan,91,20160620 11:35:39,20160620 11:33:39
2016-06-20T11:34:15.000Z,41.96436,-87.65761,red,802,5,95th/Dan Ryan,164,20160620 11:34:56,20160620 11:33:56
2016-06-20T11:34:15.000Z,41.96427,-87.65759,red,805,1,Howard,344,20160620 11:33:43,20160620 11:31:43
2016-06-20T11:34:15.000Z,41.8674,-87.6274,red,806,1,Howard,358,20160620 11:34:51,20160620 11:33:51
2016-06-20T11:34:15.000Z,41.92505,-87.65287,red,807,1,Howard,358,20160620 11:34:59,20160620 11:33:59
2016-06-20T11:34:15.000Z,41.72238,-87.62441,red,810,1,Howard,358,20160620 11:34:46,20160620 11:33:46
